,station,prediction_time,prediction_window,number_of_bikes_left,number_of_bikes_returned,net_difference
280,4,2022-08-28 22:45:00,15,0,4,4
281,4,2022-08-28 23:00:00,15,0,4,4
282,4,2022-08-28 23:15:00,15,0,2,2
283,4,2022-08-28 23:30:00,15,1,0,-1
284,4,2022-08-28 23:45:00,15,1,0,-1
285,5,2022-08-28 00:15:00,15,1,0,-1
286,5,2022-08-28 00:30:00,15,0,1,1
287,5,2022-08-28 00:45:00,15,0,1,1
288,5,2022-08-28 01:00:00,15,3,1,-2
289,5,2022-08-28 01:15:00,15,2,1,-1
290,5,2022-08-28 01:30:00,15,2,0,-2
291,5,2022-08-28 01:45:00,15,0,0,0
292,5,2022-08-28 02:00:00,15,0,0,0
293,5,2022-08-28 02:15:00,15,0,0,0
294,5,2022-08-28 02:30:00,15,0,2,2
295,5,2022-08-28 02:45:00,15,0,0,0
296,5,2022-08-28 03:00:00,15,2,0,-2
297,5,2022-08-28 03:15:00,15,0,3,3
298,5,2022-08-28 03:30:00,15,0,0,0
299,5,2022-08-28 03:45:00,15,4,1,-3
300,5,2022-08-28 04:00:00,15,0,0,0
301,5,2022-08-28 04:15:00,15,1,5,4
302,5,2022-08-28 04:30:00,15,0,0,0
303,5,2022-08-28 04:45:00,15,0,1,1
304,5,2022-08-28 05:00:00,15,0,0,0
305,5,2022-08-28 05:15:00,15,0,0,0
306,5,2022-08-28 05:30:00,15,0,0,0
307,5,2022-08-28 05:45:00,15,0,0,0
308,5,2022-08-28 06:00:00,15,1,0,-1
309,5,2022-08-28 06:15:00,15,2,0,-2
310,5,2022-08-28 06:30:00,15,0,2,2
311,5,2022-08-28 06:45:00,15,0,0,0
312,5,2022-08-28 07:00:00,15,3,0,-3
313,5,2022-08-28 07:15:00,15,0,0,0
314,5,2022-08-28 07:30:00,15,0,0,0
315,5,2022-08-28 07:45:00,15,0,0,0
316,5,2022-08-28 08:00:00,15,0,0,0
317,5,2022-08-28 08:15:00,15,0,0,0
318,5,2022-08-28 08:30:00,15,0,0,0
319,5,2022-08-28 08:45:00,15,0,0,0
320,5,2022-08-28 09:00:00,15,0,0,0
321,5,2022-08-28 09:15:00,15,0,0,0
322,5,2022-08-28 09:30:00,15,0,0,0
323,5,2022-08-28 09:45:00,15,0,0,0
324,5,2022-08-28 10:00:00,15,0,0,0
325,5,2022-08-28 10:15:00,15,1,0,-1
326,5,2022-08-28 10:30:00,15,0,0,0
327,5,2022-08-28 10:45:00,15,0,0,0
328,5,2022-08-28 11:00:00,15,0,0,0
329,5,2022-08-28 11:15:00,15,0,1,1
330,5,2022-08-28 11:30:00,15,0,0,0
331,5,2022-08-28 11:45:00,15,1,1,0
332,5,2022-08-28 12:00:00,15,1,0,-1
333,5,2022-08-28 12:15:00,15,0,0,0
334,5,2022-08-28 12:30:00,15,0,0,0
335,5,2022-08-28 12:45:00,15,0,0,0
336,5,2022-08-28 13:00:00,15,0,0,0
337,5,2022-08-28 13:15:00,15,0,0,0
338,5,2022-08-28 13:30:00,15,0,0,0
339,5,2022-08-28 13:45:00,15,0,1,1
340,5,2022-08-28 14:00:00,15,1,0,-1
341,5,2022-08-28 14:15:00,15,0,1,1
342,5,2022-08-28 14:30:00,15,0,1,1
343,5,2022-08-28 14:45:00,15,2,5,3
344,5,2022-08-28 15:00:00,15,0,1,1
345,5,2022-08-28 15:15:00,15,3,0,-3
346,5,2022-08-28 15:30:00,15,0,2,2
347,5,2022-08-28 15:45:00,15,2,0,-2
348,5,2022-08-28 16:00:00,15,1,3,2
349,5,2022-08-28 16:15:00,15,0,0,0
350,5,2022-08-28 16:30:00,15,0,1,1
351,5,2022-08-28 16:45:00,15,2,2,0
352,5,2022-08-28 17:00:00,15,2,1,-1
353,5,2022-08-28 17:15:00,15,1,2,1
354,5,2022-08-28 17:30:00,15,2,0,-2
355,5,2022-08-28 17:45:00,15,2,3,1
356,5,2022-08-28 18:00:00,15,0,1,1
357,5,2022-08-28 18:15:00,15,1,1,0
358,5,2022-08-28 18:30:00,15,2,0,-2
359,5,2022-08-28 18:45:00,15,2,4,2
360,5,2022-08-28 19:00:00,15,1,0,-1
361,5,2022-08-28 19:15:00,15,5,0,-5
362,5,2022-08-28 19:30:00,15,0,7,7
363,5,2022-08-28 19:45:00,15,0,6,6
364,5,2022-08-28 20:00:00,15,2,4,2
365,5,2022-08-28 20:15:00,15,3,1,-2
366,5,2022-08-28 20:30:00,15,0,1,1
367,5,2022-08-28 20:45:00,15,1,0,-1
368,5,2022-08-28 21:00:00,15,2,0,-2
369,5,2022-08-28 21:15:00,15,2,1,-1
370,5,2022-08-28 21:30:00,15,3,0,-3
371,5,2022-08-28 21:45:00,15,2,4,2
372,5,2022-08-28 22:00:00,15,7,0,-7
373,5,2022-08-28 22:15:00,15,1,0,-1
374,5,2022-08-28 22:30:00,15,3,3,0
375,5,2022-08-28 22:45:00,15,0,0,0
376,5,2022-08-28 23:00:00,15,0,4,4
377,5,2022-08-28 23:15:00,15,1,2,1
378,5,2022-08-28 23:30:00,15,4,1,-3
379,5,2022-08-28 23:45:00,15,0,2,2
380,6,2022-08-28 00:15:00,15,0,1,1
381,6,2022-08-28 00:30:00,15,0,2,2
382,6,2022-08-28 00:45:00,15,3,2,-1
383,6,2022-08-28 01:00:00,15,2,0,-2
384,6,2022-08-28 01:15:00,15,2,2,0
385,6,2022-08-28 01:30:00,15,2,2,0
386,6,2022-08-28 01:45:00,15,0,0,0
387,6,2022-08-28 02:00:00,15,0,1,1
388,6,2022-08-28 02:15:00,15,1,0,-1
389,6,2022-08-28 02:30:00,15,3,4,1
390,6,2022-08-28 02:45:00,15,0,0,0
391,6,2022-08-28 03:00:00,15,0,0,0
392,6,2022-08-28 03:15:00,15,0,0,0
393,6,2022-08-28 03:30:00,15,0,2,2
394,6,2022-08-28 03:45:00,15,0,0,0
